
-------------   Fold 1 / 5  -------------

    -> 8012 training images
    -> 2005 validation images
    -> 33424427 trainable parameters

Epoch 01/15 	 lr=4.9e-04	 t=1191s	loss=92.417	impact_f1_score=0.0385
Epoch 02/15 	 lr=4.6e-04	 t=1183s	loss=0.614	impact_f1_score=0.0906
Epoch 03/15 	 lr=4.2e-04	 t=1191s	loss=0.536	impact_f1_score=0.1131
Epoch 04/15 	 lr=3.9e-04	 t=1189s	loss=0.486	impact_f1_score=0.1593
Epoch 05/15 	 lr=3.5e-04	 t=1200s	loss=0.448	impact_f1_score=0.1900
Epoch 06/15 	 lr=3.2e-04	 t=1191s	loss=0.421	impact_f1_score=0.1782
Epoch 07/15 	 lr=2.8e-04	 t=1183s	loss=0.400	impact_f1_score=0.1617
Epoch 08/15 	 lr=2.5e-04	 t=1196s	loss=0.381	impact_f1_score=0.1550
Epoch 09/15 	 lr=2.1e-04	 t=1207s	loss=0.365	impact_f1_score=0.1789
Epoch 10/15 	 lr=1.8e-04	 t=1192s	loss=0.349	impact_f1_score=0.1513
Epoch 11/15 	 lr=1.4e-04	 t=1183s	loss=0.336	impact_f1_score=0.1839
Epoch 12/15 	 lr=1.1e-04	 t=1184s	loss=0.323	impact_f1_score=0.1693
Epoch 13/15 	 lr=7.0e-05	 t=1206s	loss=0.310	impact_f1_score=0.1823
Epoch 14/15 	 lr=3.5e-05	 t=1199s	loss=0.300	impact_f1_score=0.1661
Epoch 15/15 	 lr=0.0e+00	 t=1203s	loss=0.291	impact_f1_score=0.1731

 -> Saving weights to ../logs/2020-12-08/5/tf_efficientdet_d5_0.pt

