
-------------   Fold 1 / 5  -------------

    -> 8012 training images
    -> 2005 validation images
    -> 20545475 trainable parameters

Epoch 01/20 	 lr=5.0e-04	 t=662s	loss=154.375	helmet_f1_score=0.0000 	impact_f1_score=0.0038
Epoch 02/20 	 lr=4.7e-04	 t=660s	loss=0.726	helmet_f1_score=0.0000 	impact_f1_score=0.0523
Epoch 03/20 	 lr=4.5e-04	 t=665s	loss=0.559	helmet_f1_score=0.0000 	impact_f1_score=0.0662
Epoch 04/20 	 lr=4.2e-04	 t=664s	loss=0.508	helmet_f1_score=0.0000 	impact_f1_score=0.0747
Epoch 05/20 	 lr=3.9e-04	 t=667s	loss=0.477	helmet_f1_score=0.0000 	impact_f1_score=0.0953
Epoch 06/20 	 lr=3.7e-04	 t=668s	loss=0.452	helmet_f1_score=0.0000 	impact_f1_score=0.0955
Epoch 07/20 	 lr=3.4e-04	 t=671s	loss=0.428	helmet_f1_score=0.0000 	impact_f1_score=0.1134
Epoch 08/20 	 lr=3.2e-04	 t=668s	loss=0.407	helmet_f1_score=0.0000 	impact_f1_score=0.0962
Epoch 09/20 	 lr=2.9e-04	 t=667s	loss=0.389	helmet_f1_score=0.0000 	impact_f1_score=0.1094
Epoch 10/20 	 lr=2.6e-04	 t=661s	loss=0.373	helmet_f1_score=0.0000 	impact_f1_score=0.0989
Epoch 11/20 	 lr=2.4e-04	 t=668s	loss=0.359	helmet_f1_score=0.0000 	impact_f1_score=0.0893
Epoch 12/20 	 lr=2.1e-04	 t=664s	loss=0.345	helmet_f1_score=0.0000 	impact_f1_score=0.0854
Epoch 13/20 	 lr=1.8e-04	 t=665s	loss=0.331	helmet_f1_score=0.0000 	impact_f1_score=0.0962
Epoch 14/20 	 lr=1.6e-04	 t=665s	loss=0.321	helmet_f1_score=0.0000 	impact_f1_score=0.0918
Epoch 15/20 	 lr=1.3e-04	 t=666s	loss=0.311	helmet_f1_score=0.0000 	impact_f1_score=0.0911
Epoch 16/20 	 lr=1.1e-04	 t=663s	loss=0.301	helmet_f1_score=0.0000 	impact_f1_score=0.0998
Epoch 17/20 	 lr=7.9e-05	 t=663s	loss=0.290	helmet_f1_score=0.0000 	impact_f1_score=0.0952
Epoch 18/20 	 lr=5.3e-05	 t=666s	loss=0.282	helmet_f1_score=0.0000 	impact_f1_score=0.0962
Epoch 19/20 	 lr=2.6e-05	 t=665s	loss=0.275	helmet_f1_score=0.0000 	impact_f1_score=0.0962
Epoch 20/20 	 lr=0.0e+00	 t=661s	loss=0.268	helmet_f1_score=0.0000 	impact_f1_score=0.0987

 -> Saving weights to ../logs/2020-12-08/1/tf_efficientdet_d4_0.pt

