
-------------   Fold 1 / 5  -------------

    -> 8012 training images
    -> 2005 validation images
    -> 11904784 trainable parameters

Epoch 01/10 	 lr=9.5e-04	 t=436s	loss=106.840	impact_f1_score=0.0084
Epoch 02/10 	 lr=8.4e-04	 t=431s	loss=0.640	impact_f1_score=0.1024
Epoch 03/10 	 lr=7.4e-04	 t=437s	loss=0.525	impact_f1_score=0.1170
Epoch 04/10 	 lr=6.3e-04	 t=437s	loss=0.482	impact_f1_score=0.1549
Epoch 05/10 	 lr=5.3e-04	 t=438s	loss=0.453	impact_f1_score=0.1556
Epoch 06/10 	 lr=4.2e-04	 t=436s	loss=0.425	impact_f1_score=0.1418
Epoch 07/10 	 lr=3.2e-04	 t=433s	loss=0.395	impact_f1_score=0.1480
Epoch 08/10 	 lr=2.1e-04	 t=435s	loss=0.370	impact_f1_score=0.1721
Epoch 09/10 	 lr=1.1e-04	 t=437s	loss=0.344	impact_f1_score=0.1583
Epoch 10/10 	 lr=0.0e+00	 t=436s	loss=0.322	impact_f1_score=0.1725

 -> Saving weights to ../logs/2020-12-09/1/tf_efficientdet_d3_0.pt

