
-------------   Fold 1 / 5  -------------

    -> 8012 training images
    -> 2005 validation images
    -> 11904784 trainable parameters

Epoch 01/20 	 lr=1.0e-03	 t=434s	loss=148.486	impact_f1_score=0.0000
Epoch 02/20 	 lr=9.5e-04	 t=435s	loss=0.737	impact_f1_score=0.0467
Epoch 03/20 	 lr=8.9e-04	 t=434s	loss=0.563	impact_f1_score=0.1076
Epoch 04/20 	 lr=8.4e-04	 t=436s	loss=0.524	impact_f1_score=0.1361
Epoch 05/20 	 lr=7.9e-04	 t=440s	loss=0.497	impact_f1_score=0.1091
Epoch 06/20 	 lr=7.4e-04	 t=433s	loss=0.475	impact_f1_score=0.1475
Epoch 07/20 	 lr=6.8e-04	 t=432s	loss=0.453	impact_f1_score=0.1624
Epoch 08/20 	 lr=6.3e-04	 t=438s	loss=0.435	impact_f1_score=0.1532
Epoch 09/20 	 lr=5.8e-04	 t=433s	loss=0.415	impact_f1_score=0.1582
Epoch 10/20 	 lr=5.3e-04	 t=436s	loss=0.399	impact_f1_score=0.1457
Epoch 11/20 	 lr=4.7e-04	 t=435s	loss=0.385	impact_f1_score=0.1745
Epoch 12/20 	 lr=4.2e-04	 t=437s	loss=0.370	impact_f1_score=0.1782
Epoch 13/20 	 lr=3.7e-04	 t=433s	loss=0.357	impact_f1_score=0.1593
Epoch 14/20 	 lr=3.2e-04	 t=440s	loss=0.344	impact_f1_score=0.1516
Epoch 15/20 	 lr=2.6e-04	 t=436s	loss=0.332	impact_f1_score=0.1830
Epoch 16/20 	 lr=2.1e-04	 t=436s	loss=0.320	impact_f1_score=0.1583
Epoch 17/20 	 lr=1.6e-04	 t=436s	loss=0.310	impact_f1_score=0.1750
Epoch 18/20 	 lr=1.1e-04	 t=438s	loss=0.300	impact_f1_score=0.1639
Epoch 19/20 	 lr=5.3e-05	 t=436s	loss=0.292	impact_f1_score=0.1777
Epoch 20/20 	 lr=0.0e+00	 t=435s	loss=0.287	impact_f1_score=0.1648

 -> Saving weights to ../logs/2020-12-08/4/tf_efficientdet_d3_0.pt

